Atom,BDE (kcal/mol),Propensity
C1,112.53,Low
C4,113.96,Low
C5,112.4,Low
C6,113.02,Low
C8,90.37,Moderate
C9,85.44,High
C10,101.98,Low
C14,107.42,Low
C17,113.12,Low
C18,114.56,Low
